,Date,Venue,Result,GF_x,GA_x,Opp,xG_x,xGA_x,Poss_x,Club,Poss_y,Position_x,Pl_x,Pts_x,Form_x,Position_y,Pl_y,Pts_y,Form_y,spi_x,off_x,def_x,Season,spi_y,off_y,def_y
0,2023-04-08,Home,,,,CHE,,,,WOL,,14,29,28,0.8,11,29,39,1.6,64.3,1.7,0.9,2022,80.5,2.0,0.5
1,2023-04-08,Home,,,,NFO,,,,AVL,,7,29,44,2.6,17,29,27,0.4,73.9,2.0,0.7,2022,54.6,1.5,1.1
2,2023-04-08,Away,,,,LEI,,,,BOU,,18,29,27,1.2,19,29,25,0.2,57.7,1.6,1.1,2022,67.2,1.9,0.9
3,2023-04-08,Home,,,,NEW,,,,BRE,,9,29,43,1.0,3,28,53,2.4,73.4,2.1,0.8,2022,82.8,2.2,0.5
4,2023-04-08,Away,,,,TOT,,,,BHA,,6,27,46,2.2,5,29,50,1.6,81.2,2.3,0.6,2022,75.3,2.2,0.8
5,2023-04-08,Away,,,,WOL,,,,CHE,,11,29,39,1.6,14,29,28,0.8,80.5,2.0,0.5,2022,64.3,1.7,0.9
6,2023-04-08,Home,,,,BHA,,,,TOT,,5,29,50,1.6,6,27,46,2.2,75.3,2.2,0.8,2022,81.2,2.3,0.6
7,2023-04-08,Away,,,,MUN,,,,EVE,,16,29,27,1.2,4,28,53,1.4,62.1,1.7,1.0,2022,78.4,2.2,0.7
8,2023-04-08,Home,,,,WHU,,,,FUL,,10,28,39,0.8,15,28,27,1.4,65.4,1.8,1.0,2022,70.6,1.8,0.8
9,2023-04-08,Away,,,,FUL,,,,WHU,,15,28,27,1.4,10,28,39,0.8,70.6,1.8,0.8,2022,65.4,1.8,1.0
10,2023-04-08,Home,,,,BOU,,,,LEI,,19,29,25,0.2,18,29,27,1.2,67.2,1.9,0.9,2022,57.7,1.6,1.1
11,2023-04-08,Home,,,,MCI,,,,SOU,,20,29,23,1.0,2,28,64,2.6,62.3,1.6,0.9,2022,93.0,3.0,0.3
12,2023-04-08,Away,,,,SOU,,,,MCI,,2,28,64,2.6,20,29,23,1.0,93.0,3.0,0.3,2022,62.3,1.6,0.9
13,2023-04-08,Home,,,,EVE,,,,MUN,,4,28,53,1.4,16,29,27,1.2,78.4,2.2,0.7,2022,62.1,1.7,1.0
14,2023-04-08,Away,,,,BRE,,,,NEW,,3,28,53,2.4,9,29,43,1.0,82.8,2.2,0.5,2022,73.4,2.1,0.8
15,2023-04-08,Away,,,,AVL,,,,NFO,,17,29,27,0.4,7,29,44,2.6,54.6,1.5,1.1,2022,73.9,2.0,0.7
16,2023-04-09,Away,,,,LIV,,,,ARS,,1,29,72,3.0,8,28,43,1.4,85.7,2.6,0.5,2022,82.5,2.5,0.6
17,2023-04-09,Away,,,,LEE,,,,CRY,,12,29,30,0.6,13,29,29,1.4,69.5,1.7,0.7,2022,66.5,1.9,1.0
18,2023-04-09,Home,,,,ARS,,,,LIV,,8,28,43,1.4,1,29,72,3.0,82.5,2.5,0.6,2022,85.7,2.6,0.5
19,2023-04-09,Home,,,,CRY,,,,LEE,,13,29,29,1.4,12,29,30,0.6,66.5,1.9,1.0,2022,69.5,1.7,0.7
