,team,spi,off,def,date
0,Arsenal,85.9,2.5,0.5,2023-03-14
1,Man City,90.9,2.8,0.3,2023-03-14
2,Man United,79.4,2.3,0.7,2023-03-14
3,Tottenham,77.3,2.2,0.7,2023-03-14
4,Newcastle,79.4,2.1,0.5,2023-03-14
5,Liverpool,84.6,2.6,0.6,2023-03-14
6,Brighton,81.7,2.3,0.6,2023-03-14
7,Chelsea,80.4,2.0,0.5,2023-03-14
8,Brentford,73.7,2.1,0.8,2023-03-14
9,Fulham,67.2,1.8,0.9,2023-03-14
10,Aston Villa,71.6,1.9,0.8,2023-03-14
11,Crystal Palace,66.4,1.6,0.7,2023-03-14
12,Leicester,69.1,1.9,0.9,2023-03-14
13,Wolves,64.9,1.6,0.8,2023-03-14
14,West Ham,71.3,1.8,0.7,2023-03-14
15,Leeds United,67.5,1.8,0.9,2023-03-14
16,Bournemouth,57.8,1.6,1.1,2023-03-14
17,Nottm Forest,55.5,1.5,1.1,2023-03-14
18,Everton,61.0,1.7,1.0,2023-03-14
19,Southamon,62.4,1.6,0.9,2023-03-14
