,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,18,14,2,2,44,9,35,44,3.0,2021-12-19,MCI,2021
2,2,Liverpool,18,12,5,1,50,15,35,41,2.6,2021-12-19,LIV,2021
4,3,Chelsea,18,11,5,2,39,12,27,38,1.6,2021-12-19,CHE,2021
6,4,Arsenal,18,10,2,6,27,23,4,32,1.8,2021-12-18,ARS,2021
8,5,West Ham United,17,8,4,5,28,21,7,28,1.0,2021-12-15,WHU,2021
10,6,Manchester United,16,8,3,5,26,24,2,27,2.0,2021-12-11,MUN,2021
12,7,Tottenham Hotspur,15,8,2,5,18,19,-1,26,2.2,2021-12-19,TOT,2021
14,8,Wolverhampton Wanderers,18,7,4,7,13,14,-1,25,1.0,2021-12-19,WOL,2021
16,9,Leicester City,16,6,4,6,27,27,0,22,1.4,2021-12-12,LEI,2021
18,10,Aston Villa,17,7,1,9,23,25,-2,22,1.8,2021-12-14,AVL,2021
20,11,Crystal Palace,17,4,8,5,24,24,0,20,0.8,2021-12-15,CRY,2021
22,12,Brentford,16,5,5,6,21,22,-1,20,1.6,2021-12-10,BRE,2021
24,13,Brighton and Hove Albion,16,4,8,4,14,17,-3,20,0.6,2021-12-15,BHA,2021
26,14,Everton,17,5,4,8,21,29,-8,19,0.8,2021-12-16,EVE,2021
28,15,Southampton,17,3,8,6,16,26,-10,17,0.6,2021-12-15,SOU,2021
30,16,Leeds United,18,3,7,8,18,36,-18,16,0.8,2021-12-18,LEE,2021
32,17,Watford,16,4,1,11,21,31,-10,13,0.6,2021-12-10,WAT,2021
34,18,Burnley,15,1,8,6,14,21,-7,11,0.8,2021-12-12,BUR,2021
36,19,Newcastle United,18,1,7,10,18,41,-23,10,0.8,2021-12-19,NEW,2021
38,20,Norwich City,17,2,4,11,8,34,-26,10,0.4,2021-12-14,NOR,2021
